Date,PNB Price,PNB Open,PNB High,PNB Low,PNB Vol.,Change %,HDFC Price,HDFC Open,HDFC High,HDFC Low,HDFC Vol.,HDFC Change %,,,Dropdown,,,,,,,,,Date,HDFC Price,PNB Price
13-08-2024,803.6,838,844.05,801.25,1.05M,-3.89%,685,698.1,707.3,677.5,5.74M,-2.48%,,,,,,,,,,,,13-08-2024,685.00,803.6
12-08-2024,836.1,821,847.1,815.65,2.25M,1.84%,702.45,698.6,713.65,692.2,3.72M,0.01%,,,,,,,,,,,,12-08-2024,702.45,836.1
09-08-2024,821,811.8,836.3,810.8,2.04M,2.09%,702.4,714.2,715,701.45,2.85M,-1.12%,,,,,,,,,,,,09-08-2024,702.40,821
08-08-2024,804.2,809,821,800.4,781.45K,-0.64%,710.35,691.1,713.2,689.7,5.95M,2.03%,,,,,,,,,,,,08-08-2024,710.35,804.2
07-08-2024,809.35,804,819.45,793.4,1.47M,2.34%,696.25,682.1,697.7,682.1,5.15M,2.45%,,,,,,,,,,,,07-08-2024,696.25,809.35
06-08-2024,790.85,783,806.4,783,1.96M,2.06%,679.6,711.65,719,677.3,6.11M,-4.40%,,,,,,,,,,,,06-08-2024,679.60,790.85
05-08-2024,774.9,792,792.05,768.05,1.89M,-4.40%,710.9,693,713.9,690.05,9.33M,0.49%,,,,,,,,,,,,05-08-2024,710.90,774.9
02-08-2024,810.55,801,822.85,792.15,1.80M,0.12%,707.4,707.5,712.75,699.05,2.71M,-0.87%,,,,,,,,,,,,02-08-2024,707.40,810.55
01-08-2024,809.55,809.75,826,800.9,3.26M,0.50%,713.6,715,722.5,710.05,4.07M,-0.27%,,,,,,,,,,,,01-08-2024,713.60,809.55
31-07-2024,805.5,782,812,779.5,4.90M,3.28%,715.5,697.2,719,693.1,6.68M,2.62%,,,,,,,,,,,,31-07-2024,715.50,805.5
30-07-2024,779.95,781,788.4,778.65,5.75M,-1.88%,697.2,696.1,708.35,683.9,6.13M,0.05%,,,,,,,,,,,,30-07-2024,697.20,779.95
29-07-2024,794.9,799.9,807,790.7,763.20K,0.13%,696.85,703.55,710,693.75,4.68M,-0.92%,,,,,,,,,,,,29-07-2024,696.85,794.9
26-07-2024,793.85,790,803,786.9,1.96M,1.61%,703.35,683.15,709.8,682.05,8.93M,2.96%,,,,,,,,,,,,26-07-2024,703.35,793.85
25-07-2024,781.25,770,796,763.25,1.60M,0.68%,683.15,666,685.6,665.55,9.39M,1.54%,,,,,,,,,,,,25-07-2024,683.15,781.25
24-07-2024,775.95,765,783.6,759.8,900.08K,2.45%,672.8,639.6,675,639.3,12.38M,4.48%,,,,,,,,,,,,24-07-2024,672.80,775.95
23-07-2024,757.4,797.9,797.9,741.25,1.63M,-4.36%,643.95,642,649.7,623.25,9.08M,1.03%,,,,,,,,,,,,23-07-2024,643.95,757.4
22-07-2024,791.9,780.8,795.85,765.2,900.31K,1.42%,637.4,631.9,641,628.95,3.85M,0.24%,,,,,,,,,,,,22-07-2024,637.40,791.9
19-07-2024,780.8,788,788,773,949.24K,-1.06%,635.9,644.65,646,634.15,2.50M,-2.00%,,,,,,,,,,,,19-07-2024,635.90,780.8
18-07-2024,789.2,805.7,811,785.2,875.23K,-1.26%,648.9,646.75,651.4,641.1,3.98M,0.33%,,,,,,,,,,,,18-07-2024,648.90,789.2
16-07-2024,799.3,803.75,819,795,1.09M,-0.16%,646.75,642,655,633.35,9.17M,1.36%,,,,,,,,,,,,16-07-2024,646.75,799.3
15-07-2024,800.6,812,815.45,797,492.82K,-1.14%,638.05,635.55,648,630.5,6.95M,0.39%,,,,,,,,,,,,15-07-2024,638.05,800.6
12-07-2024,809.85,803.75,822.5,795.55,1.55M,1.26%,635.55,634,636.4,627.1,2.64M,0.20%,,,,,,,,,,,,12-07-2024,635.55,809.85
